NonDetectFlag,Parameter ID,S Adt,S Avg Annual Precip,S EMC Value,Site ID,State ID,T Data Qualifier,T EMC Qual,T Parameter Name,T Pcode
TRUE,1809,30000,,0.02,186,38,,<,"1,2-Dichlorobenzene, water, unfiltered, recoverable, micrograms per liter",p34536
TRUE,1809,145100,,1,184,38,,<,"1,2-Dichlorobenzene, water, unfiltered, recoverable, micrograms per liter",p34536
TRUE,1809,145100,,0.99,184,38,,<,"1,2-Dichlorobenzene, water, unfiltered, recoverable, micrograms per liter",p34536
TRUE,1821,30000,,0.01,186,38,,<,"1,2,4-Trichlorobenzene, water, unfiltered, recoverable, micrograms per liter",p34551
TRUE,1821,145100,,1,184,38,,<,"1,2,4-Trichlorobenzene, water, unfiltered, recoverable, micrograms per liter",p34551
TRUE,1821,145100,,0.99,184,38,,<,"1,2,4-Trichlorobenzene, water, unfiltered, recoverable, micrograms per liter",p34551
TRUE,1830,30000,,0.02,186,38,,<,"1,3-Dichlorobenzene, water, unfiltered, recoverable, micrograms per liter",p34566
TRUE,1830,145100,,1,184,38,,<,"1,3-Dichlorobenzene, water, unfiltered, recoverable, micrograms per liter",p34566
TRUE,1830,145100,,0.99,184,38,,<,"1,3-Dichlorobenzene, water, unfiltered, recoverable, micrograms per liter",p34566
TRUE,1834,30000,,0.03,186,38,,<,"1,4-Dichlorobenzene, water, unfiltered, recoverable, micrograms per liter",p34571
TRUE,1834,30000,,0.02,186,38,,<,"1,4-Dichlorobenzene, water, unfiltered, recoverable, micrograms per liter",p34571
TRUE,1834,145100,,1,184,38,,<,"1,4-Dichlorobenzene, water, unfiltered, recoverable, micrograms per liter",p34571
TRUE,1834,145100,,0.99,184,38,,<,"1,4-Dichlorobenzene, water, unfiltered, recoverable, micrograms per liter",p34571
TRUE,1842,30000,,0.04,186,38,,<,"2-Chloronaphthalene, water, unfiltered, recoverable, micrograms per liter",p34581
TRUE,1842,145100,,1,184,38,,<,"2-Chloronaphthalene, water, unfiltered, recoverable, micrograms per liter",p34581
TRUE,1842,145100,,0.99,184,38,,<,"2-Chloronaphthalene, water, unfiltered, recoverable, micrograms per liter",p34581
TRUE,1846,30000,,0.05,186,38,,<,"2-Chlorophenol, water, unfiltered, recoverable, micrograms per liter",p34586
TRUE,1846,145100,,2.5,184,38,,<,"2-Chlorophenol, water, unfiltered, recoverable, micrograms per liter",p34586
FALSE,1350,30000,,0.18,186,38,,,"2-Methylnaphthalene, water, unfiltered, recoverable, micrograms per liter",p30194
FALSE,1350,30000,,0.06,186,38,,,"2-Methylnaphthalene, water, unfiltered, recoverable, micrograms per liter",p30194
FALSE,1350,30000,,0.04,186,38,,,"2-Methylnaphthalene, water, unfiltered, recoverable, micrograms per liter",p30194
FALSE,1350,30000,,0.02,186,38,,,"2-Methylnaphthalene, water, unfiltered, recoverable, micrograms per liter",p30194
FALSE,1350,145100,,0.11,184,38,,,"2-Methylnaphthalene, water, unfiltered, recoverable, micrograms per liter",p30194
FALSE,1350,145100,,0.04,184,38,,,"2-Methylnaphthalene, water, unfiltered, recoverable, micrograms per liter",p30194
FALSE,1350,145100,,0.02,184,38,,,"2-Methylnaphthalene, water, unfiltered, recoverable, micrograms per liter",p30194
FALSE,1350,145100,,0.01,184,38,,,"2-Methylnaphthalene, water, unfiltered, recoverable, micrograms per liter",p30194
FALSE,1350,23000,,0.05,183,38,,,"2-Methylnaphthalene, water, unfiltered, recoverable, micrograms per liter",p30194
FALSE,1350,23000,,0.01,183,38,,,"2-Methylnaphthalene, water, unfiltered, recoverable, micrograms per liter",p30194
FALSE,1350,23000,,0.0096,183,38,,,"2-Methylnaphthalene, water, unfiltered, recoverable, micrograms per liter",p30194
TRUE,1350,30000,,0.02,186,38,,<,"2-Methylnaphthalene, water, unfiltered, recoverable, micrograms per liter",p30194
TRUE,1350,21400,,0.09,181,38,,<,"2-Methylnaphthalene, water, unfiltered, recoverable, micrograms per liter",p30194
TRUE,1351,30000,,0.02,186,38,,<,"2-Nitroaniline, water, unfiltered, recoverable, micrograms per liter",p30195
TRUE,1351,145100,,1,184,38,,<,"2-Nitroaniline, water, unfiltered, recoverable, micrograms per liter",p30195
TRUE,1351,145100,,0.99,184,38,,<,"2-Nitroaniline, water, unfiltered, recoverable, micrograms per liter",p30195
TRUE,1850,30000,,0.06,186,38,,<,"2-Nitrophenol, water, unfiltered, recoverable, micrograms per liter",p34591
TRUE,1850,145100,,2.5,184,38,,<,"2-Nitrophenol, water, unfiltered, recoverable, micrograms per liter",p34591
TRUE,5914,30000,,0.03,186,38,,<,"2,3,4,6-Tetrachlorophenol, water, unfiltered, recoverable, micrograms per liter",p77770
TRUE,5914,145100,,5,184,38,,<,"2,3,4,6-Tetrachlorophenol, water, unfiltered, recoverable, micrograms per liter",p77770
FALSE,2446,30000,,1.1,186,38,,,"2,4-D, water, unfiltered, recoverable, micrograms per liter",p39730
FALSE,2446,21400,,0.48,181,38,,,"2,4-D, water, unfiltered, recoverable, micrograms per liter",p39730
TRUE,2446,30000,,4.5,186,38,,<,"2,4-D, water, unfiltered, recoverable, micrograms per liter",p39730
TRUE,2446,30000,,4,186,38,,<,"2,4-D, water, unfiltered, recoverable, micrograms per liter",p39730
TRUE,2446,30000,,0.42,186,38,,<,"2,4-D, water, unfiltered, recoverable, micrograms per liter",p39730
TRUE,2446,30000,,0.36,186,38,,<,"2,4-D, water, unfiltered, recoverable, micrograms per liter",p39730
TRUE,2446,145100,,0.4,184,38,,<,"2,4-D, water, unfiltered, recoverable, micrograms per liter",p39730
TRUE,2446,145100,,0.05,184,38,,<,"2,4-D, water, unfiltered, recoverable, micrograms per liter",p39730
TRUE,2446,23000,,0.05,183,38,,<,"2,4-D, water, unfiltered, recoverable, micrograms per liter",p39730
TRUE,2446,21400,,0.08,181,38,,<,"2,4-D, water, unfiltered, recoverable, micrograms per liter",p39730
TRUE,1373,30000,,4.5,186,38,,<,"2,4-DB, water, unfiltered, recoverable, micrograms per liter",p30219
TRUE,1373,30000,,4,186,38,,<,"2,4-DB, water, unfiltered, recoverable, micrograms per liter",p30219
TRUE,1373,30000,,1.1,186,38,,<,"2,4-DB, water, unfiltered, recoverable, micrograms per liter",p30219
TRUE,1373,30000,,0.11,186,38,,<,"2,4-DB, water, unfiltered, recoverable, micrograms per liter",p30219
TRUE,1373,145100,,0.17,184,38,,<,"2,4-DB, water, unfiltered, recoverable, micrograms per liter",p30219
TRUE,1373,23000,,0.17,183,38,,<,"2,4-DB, water, unfiltered, recoverable, micrograms per liter",p30219
TRUE,1858,30000,,0.04,186,38,,<,"2,4-Dichlorophenol, water, unfiltered, recoverable, micrograms per liter",p34601
TRUE,1858,145100,,2.5,184,38,,<,"2,4-Dichlorophenol, water, unfiltered, recoverable, micrograms per liter",p34601
TRUE,1862,30000,,2.3,186,38,,<,"2,4-Dimethylphenol, water, unfiltered, recoverable, micrograms per liter",p34606
TRUE,1862,30000,,2.2,186,38,,<,"2,4-Dimethylphenol, water, unfiltered, recoverable, micrograms per liter",p34606
TRUE,1862,145100,,20,184,38,,<,"2,4-Dimethylphenol, water, unfiltered, recoverable, micrograms per liter",p34606
TRUE,1870,30000,,0.18,186,38,,<,"2,4-Dinitrophenol, water, unfiltered, recoverable, micrograms per liter",p34616
TRUE,1870,30000,,0.17,186,38,,<,"2,4-Dinitrophenol, water, unfiltered, recoverable, micrograms per liter",p34616
TRUE,1870,145100,,20,184,38,,<,"2,4-Dinitrophenol, water, unfiltered, recoverable, micrograms per liter",p34616
TRUE,1866,30000,,0.01,186,38,,<,"2,4-Dinitrotoluene, water, unfiltered, recoverable, micrograms per liter",p34611
TRUE,1866,145100,,1,184,38,,<,"2,4-Dinitrotoluene, water, unfiltered, recoverable, micrograms per liter",p34611
TRUE,1866,145100,,0.99,184,38,,<,"2,4-Dinitrotoluene, water, unfiltered, recoverable, micrograms per liter",p34611
TRUE,2452,30000,,2.3,186,38,,<,"2,4,5-T, water, filtered, recoverable, micrograms per liter",p39742
TRUE,2452,30000,,2,186,38,,<,"2,4,5-T, water, filtered, recoverable, micrograms per liter",p39742
TRUE,2452,30000,,1.9,186,38,,<,"2,4,5-T, water, filtered, recoverable, micrograms per liter",p39742
TRUE,2452,30000,,0.44,186,38,,<,"2,4,5-T, water, filtered, recoverable, micrograms per liter",p39742
TRUE,2452,30000,,0.04,186,38,,<,"2,4,5-T, water, filtered, recoverable, micrograms per liter",p39742
TRUE,2452,145100,,0.05,184,38,,<,"2,4,5-T, water, filtered, recoverable, micrograms per liter",p39742
TRUE,2452,23000,,0.05,183,38,,<,"2,4,5-T, water, filtered, recoverable, micrograms per liter",p39742
TRUE,2450,30000,,2.3,186,38,,<,"2,4,5-T, water, unfiltered, recoverable, micrograms per liter",p39740
TRUE,2450,30000,,2,186,38,,<,"2,4,5-T, water, unfiltered, recoverable, micrograms per liter",p39740
TRUE,2450,30000,,0.45,186,38,,<,"2,4,5-T, water, unfiltered, recoverable, micrograms per liter",p39740
TRUE,2450,30000,,0.44,186,38,,<,"2,4,5-T, water, unfiltered, recoverable, micrograms per liter",p39740
TRUE,2450,30000,,0.08,186,38,,<,"2,4,5-T, water, unfiltered, recoverable, micrograms per liter",p39740
TRUE,2450,145100,,0.05,184,38,,<,"2,4,5-T, water, unfiltered, recoverable, micrograms per liter",p39740
TRUE,2450,23000,,0.05,183,38,,<,"2,4,5-T, water, unfiltered, recoverable, micrograms per liter",p39740
TRUE,5910,30000,,0.03,186,38,,<,"2,4,5-Trichlorophenol, water, unfiltered, recoverable, micrograms per liter",p77687
TRUE,5910,145100,,2.5,184,38,,<,"2,4,5-Trichlorophenol, water, unfiltered, recoverable, micrograms per liter",p77687
TRUE,1874,30000,,0.05,186,38,,<,"2,4,6-Trichlorophenol, water, unfiltered, recoverable, micrograms per liter",p34621
TRUE,1874,145100,,2.5,184,38,,<,"2,4,6-Trichlorophenol, water, unfiltered, recoverable, micrograms per liter",p34621
TRUE,1878,30000,,0.03,186,38,,<,"2,6-Dinitrotoluene, water, unfiltered, recoverable, micrograms per liter",p34626
TRUE,1878,145100,,1,184,38,,<,"2,6-Dinitrotoluene, water, unfiltered, recoverable, micrograms per liter",p34626
TRUE,1878,145100,,0.99,184,38,,<,"2,6-Dinitrotoluene, water, unfiltered, recoverable, micrograms per liter",p34626
TRUE,5938,30000,,0.03,186,38,,<,"3-Nitroaniline, water, unfiltered, recoverable, micrograms per liter",p78300
TRUE,5938,30000,,0.02,186,38,,<,"3-Nitroaniline, water, unfiltered, recoverable, micrograms per liter",p78300
TRUE,5938,145100,,5,184,38,,<,"3-Nitroaniline, water, unfiltered, recoverable, micrograms per liter",p78300
TRUE,1882,30000,,0.44,186,38,,<,"3,3'-Dichlorobenzidine, water, unfiltered, recoverable, micrograms per liter",p34631
TRUE,1882,30000,,0.43,186,38,,<,"3,3'-Dichlorobenzidine, water, unfiltered, recoverable, micrograms per liter",p34631
TRUE,1882,145100,,10,184,38,,<,"3,3'-Dichlorobenzidine, water, unfiltered, recoverable, micrograms per liter",p34631
TRUE,1882,145100,,9.9,184,38,,<,"3,3'-Dichlorobenzidine, water, unfiltered, recoverable, micrograms per liter",p34631
TRUE,1886,30000,,0.02,186,38,,<,"4-Bromophenyl phenyl ether, water, unfiltered, recoverable, micrograms per liter",p34636
TRUE,1886,145100,,1,184,38,,<,"4-Bromophenyl phenyl ether, water, unfiltered, recoverable, micrograms per liter",p34636
TRUE,1886,145100,,0.99,184,38,,<,"4-Bromophenyl phenyl ether, water, unfiltered, recoverable, micrograms per liter",p34636
TRUE,1741,30000,,0.03,186,38,,<,"4-Chloro-3-methylphenol, water, unfiltered, recoverable, micrograms per liter",p34452
TRUE,1741,145100,,2.5,184,38,,<,"4-Chloro-3-methylphenol, water, unfiltered, recoverable, micrograms per liter",p34452
TRUE,1491,30000,,0.06,186,38,,<,"4-Chloroaniline, water, unfiltered, recoverable, micrograms per liter",p30343
TRUE,1491,145100,,1,184,38,,<,"4-Chloroaniline, water, unfiltered, recoverable, micrograms per liter",p30343
TRUE,1491,145100,,0.99,184,38,,<,"4-Chloroaniline, water, unfiltered, recoverable, micrograms per liter",p30343
TRUE,1890,30000,,0.02,186,38,,<,"4-Chlorophenyl phenyl ether, water, unfiltered, recoverable, micrograms per liter",p34641
TRUE,1890,145100,,1,184,38,,<,"4-Chlorophenyl phenyl ether, water, unfiltered, recoverable, micrograms per liter",p34641
TRUE,1890,145100,,0.99,184,38,,<,"4-Chlorophenyl phenyl ether, water, unfiltered, recoverable, micrograms per liter",p34641
TRUE,1352,30000,,0.02,186,38,,<,"4-Nitroaniline, water, unfiltered, recoverable, micrograms per liter",p30196
TRUE,1352,30000,,0.01,186,38,,<,"4-Nitroaniline, water, unfiltered, recoverable, micrograms per liter",p30196
TRUE,1352,145100,,5,184,38,,<,"4-Nitroaniline, water, unfiltered, recoverable, micrograms per liter",p30196
TRUE,1894,30000,,0.29,186,38,,<,"4-Nitrophenol, water, unfiltered, recoverable, micrograms per liter",p34646
TRUE,1894,30000,,0.28,186,38,,<,"4-Nitrophenol, water, unfiltered, recoverable, micrograms per liter",p34646
TRUE,1894,145100,,10,184,38,,<,"4-Nitrophenol, water, unfiltered, recoverable, micrograms per liter",p34646
TRUE,1894,145100,,9.9,184,38,,<,"4-Nitrophenol, water, unfiltered, recoverable, micrograms per liter",p34646
FALSE,1685,30000,,0.36,186,38,,,"9H-Fluorene, water, unfiltered, recoverable, micrograms per liter",p34381
FALSE,1685,30000,,0.06,186,38,,,"9H-Fluorene, water, unfiltered, recoverable, micrograms per liter",p34381
FALSE,1685,30000,,0.05,186,38,,,"9H-Fluorene, water, unfiltered, recoverable, micrograms per liter",p34381
FALSE,1685,30000,,0.02,186,38,,,"9H-Fluorene, water, unfiltered, recoverable, micrograms per liter",p34381
FALSE,1685,145100,,0.05,184,38,,,"9H-Fluorene, water, unfiltered, recoverable, micrograms per liter",p34381
FALSE,1685,145100,,0.01,184,38,,,"9H-Fluorene, water, unfiltered, recoverable, micrograms per liter",p34381
FALSE,1685,23000,,0.07,183,38,,,"9H-Fluorene, water, unfiltered, recoverable, micrograms per liter",p34381
FALSE,1685,23000,,0.01,183,38,,,"9H-Fluorene, water, unfiltered, recoverable, micrograms per liter",p34381
FALSE,1685,23000,,0.0093,183,38,,,"9H-Fluorene, water, unfiltered, recoverable, micrograms per liter",p34381
FALSE,1685,78500,,0.01,139,48,,,"9H-Fluorene, water, unfiltered, recoverable, micrograms per liter",p34381
FALSE,1685,126000,,0.01,138,48,,,"9H-Fluorene, water, unfiltered, recoverable, micrograms per liter",p34381
FALSE,1685,126000,,0.03,137,48,,,"9H-Fluorene, water, unfiltered, recoverable, micrograms per liter",p34381
TRUE,1685,30000,,0.06,186,38,,<,"9H-Fluorene, water, unfiltered, recoverable, micrograms per liter",p34381
TRUE,1685,30000,,0.03,186,38,,<,"9H-Fluorene, water, unfiltered, recoverable, micrograms per liter",p34381
TRUE,1685,30000,,0.02,186,38,,<,"9H-Fluorene, water, unfiltered, recoverable, micrograms per liter",p34381
TRUE,1685,145100,,0.0039,184,38,,<,"9H-Fluorene, water, unfiltered, recoverable, micrograms per liter",p34381
TRUE,1685,145100,,0.0038,184,38,,<,"9H-Fluorene, water, unfiltered, recoverable, micrograms per liter",p34381
TRUE,1685,21400,,0.38,181,38,,<,"9H-Fluorene, water, unfiltered, recoverable, micrograms per liter",p34381
TRUE,1685,21400,,0.09,181,38,,<,"9H-Fluorene, water, unfiltered, recoverable, micrograms per liter",p34381
TRUE,1685,16500,,0.1,140,48,,<,"9H-Fluorene, water, unfiltered, recoverable, micrograms per liter",p34381
TRUE,1685,16500,,0.01,140,48,,<,"9H-Fluorene, water, unfiltered, recoverable, micrograms per liter",p34381
TRUE,1685,16500,,0.0011,140,48,,<,"9H-Fluorene, water, unfiltered, recoverable, micrograms per liter",p34381
TRUE,1685,16500,,0.001,140,48,,<,"9H-Fluorene, water, unfiltered, recoverable, micrograms per liter",p34381
TRUE,1685,78500,,0.1,139,48,,<,"9H-Fluorene, water, unfiltered, recoverable, micrograms per liter",p34381
TRUE,1685,78500,,0.01,139,48,,<,"9H-Fluorene, water, unfiltered, recoverable, micrograms per liter",p34381
TRUE,1685,78500,,0.0098,139,48,,<,"9H-Fluorene, water, unfiltered, recoverable, micrograms per liter",p34381
TRUE,1685,126000,,0.1,138,48,,<,"9H-Fluorene, water, unfiltered, recoverable, micrograms per liter",p34381
TRUE,1685,126000,,0.01,138,48,,<,"9H-Fluorene, water, unfiltered, recoverable, micrograms per liter",p34381
TRUE,1685,126000,,0.1,137,48,,<,"9H-Fluorene, water, unfiltered, recoverable, micrograms per liter",p34381
TRUE,1685,126000,,0.01,137,48,,<,"9H-Fluorene, water, unfiltered, recoverable, micrograms per liter",p34381
TRUE,1685,126000,,0.0099,137,48,,<,"9H-Fluorene, water, unfiltered, recoverable, micrograms per liter",p34381
FALSE,1553,126000,,0.32,137,48,,,"Acenaphthene, bed sediment, recoverable, dry weight, micrograms per kilogram",p34208
TRUE,1553,126000,,0.01,137,48,,<,"Acenaphthene, bed sediment, recoverable, dry weight, micrograms per kilogram",p34208
TRUE,1552,126000,,0.1,137,48,,<,"Acenaphthene, suspended sediment, recoverable, micrograms per liter",p34207
TRUE,1552,126000,,0.01,137,48,,<,"Acenaphthene, suspended sediment, recoverable, micrograms per liter",p34207
TRUE,1551,126000,,0.01,137,48,,<,"Acenaphthene, water, filtered, recoverable, micrograms per liter",p34206
FALSE,1550,30000,,0.42,186,38,,,"Acenaphthene, water, unfiltered, recoverable, micrograms per liter",p34205
FALSE,1550,30000,,0.04,186,38,,,"Acenaphthene, water, unfiltered, recoverable, micrograms per liter",p34205
FALSE,1550,30000,,0.02,186,38,,,"Acenaphthene, water, unfiltered, recoverable, micrograms per liter",p34205
FALSE,1550,30000,,0.01,186,38,,,"Acenaphthene, water, unfiltered, recoverable, micrograms per liter",p34205
FALSE,1550,30000,,0.0087,186,38,,,"Acenaphthene, water, unfiltered, recoverable, micrograms per liter",p34205
FALSE,1550,145100,,0.008,184,38,,,"Acenaphthene, water, unfiltered, recoverable, micrograms per liter",p34205
FALSE,1550,23000,,0.23,183,38,,,"Acenaphthene, water, unfiltered, recoverable, micrograms per liter",p34205
FALSE,1550,23000,,0.01,183,38,,,"Acenaphthene, water, unfiltered, recoverable, micrograms per liter",p34205
FALSE,1550,23000,,0.0092,183,38,,,"Acenaphthene, water, unfiltered, recoverable, micrograms per liter",p34205
TRUE,1550,30000,,0.02,186,38,,<,"Acenaphthene, water, unfiltered, recoverable, micrograms per liter",p34205
TRUE,1550,145100,,0.02,184,38,,<,"Acenaphthene, water, unfiltered, recoverable, micrograms per liter",p34205
TRUE,1550,145100,,0.0046,184,38,,<,"Acenaphthene, water, unfiltered, recoverable, micrograms per liter",p34205
TRUE,1550,145100,,0.0044,184,38,,<,"Acenaphthene, water, unfiltered, recoverable, micrograms per liter",p34205
TRUE,1550,21400,,0.09,181,38,,<,"Acenaphthene, water, unfiltered, recoverable, micrograms per liter",p34205
TRUE,1550,16500,,0.1,140,48,,<,"Acenaphthene, water, unfiltered, recoverable, micrograms per liter",p34205
TRUE,1550,16500,,0.01,140,48,,<,"Acenaphthene, water, unfiltered, recoverable, micrograms per liter",p34205
TRUE,1550,16500,,0.0014,140,48,,<,"Acenaphthene, water, unfiltered, recoverable, micrograms per liter",p34205
TRUE,1550,16500,,0.0013,140,48,,<,"Acenaphthene, water, unfiltered, recoverable, micrograms per liter",p34205
TRUE,1550,78500,,0.1,139,48,,<,"Acenaphthene, water, unfiltered, recoverable, micrograms per liter",p34205
TRUE,1550,78500,,0.01,139,48,,<,"Acenaphthene, water, unfiltered, recoverable, micrograms per liter",p34205
TRUE,1550,78500,,0.0098,139,48,,<,"Acenaphthene, water, unfiltered, recoverable, micrograms per liter",p34205
TRUE,1550,126000,,0.1,138,48,,<,"Acenaphthene, water, unfiltered, recoverable, micrograms per liter",p34205
TRUE,1550,126000,,0.01,138,48,,<,"Acenaphthene, water, unfiltered, recoverable, micrograms per liter",p34205
TRUE,1550,126000,,0.01,137,48,,<,"Acenaphthene, water, unfiltered, recoverable, micrograms per liter",p34205
TRUE,1550,126000,,0.0099,137,48,,<,"Acenaphthene, water, unfiltered, recoverable, micrograms per liter",p34205
TRUE,1549,126000,,0.01,137,48,,<,"Acenaphthylene, bed sediment, recoverable, dry weight, micrograms per kilogram",p34203
TRUE,1548,126000,,0.01,137,48,,<,"Acenaphthylene, suspended sediment, recoverable, micrograms per liter",p34202
TRUE,1547,126000,,0.01,137,48,,<,"Acenaphthylene, water, filtered, recoverable, micrograms per liter",p34201
FALSE,1546,30000,,0.02,186,38,,,"Acenaphthylene, water, unfiltered, recoverable, micrograms per liter",p34200
FALSE,1546,30000,,0.01,186,38,,,"Acenaphthylene, water, unfiltered, recoverable, micrograms per liter",p34200
FALSE,1546,145100,,0.09,184,38,,,"Acenaphthylene, water, unfiltered, recoverable, micrograms per liter",p34200
FALSE,1546,145100,,0.02,184,38,,,"Acenaphthylene, water, unfiltered, recoverable, micrograms per liter",p34200
FALSE,1546,145100,,0.01,184,38,,,"Acenaphthylene, water, unfiltered, recoverable, micrograms per liter",p34200
FALSE,1546,145100,,0.0088,184,38,,,"Acenaphthylene, water, unfiltered, recoverable, micrograms per liter",p34200
FALSE,1546,23000,,0.0095,183,38,,,"Acenaphthylene, water, unfiltered, recoverable, micrograms per liter",p34200
FALSE,1546,23000,,0.0035,183,38,,,"Acenaphthylene, water, unfiltered, recoverable, micrograms per liter",p34200
FALSE,1546,21400,,0.12,181,38,,,"Acenaphthylene, water, unfiltered, recoverable, micrograms per liter",p34200
FALSE,1546,126000,,0.05,138,48,,,"Acenaphthylene, water, unfiltered, recoverable, micrograms per liter",p34200
TRUE,1546,30000,,0.25,186,38,,<,"Acenaphthylene, water, unfiltered, recoverable, micrograms per liter",p34200
TRUE,1546,30000,,0.17,186,38,,<,"Acenaphthylene, water, unfiltered, recoverable, micrograms per liter",p34200
TRUE,1546,30000,,0.01,186,38,,<,"Acenaphthylene, water, unfiltered, recoverable, micrograms per liter",p34200
TRUE,1546,30000,,0.0025,186,38,,<,"Acenaphthylene, water, unfiltered, recoverable, micrograms per liter",p34200
TRUE,1546,145100,,0.0034,184,38,,<,"Acenaphthylene, water, unfiltered, recoverable, micrograms per liter",p34200
TRUE,1546,23000,,0.008,183,38,,<,"Acenaphthylene, water, unfiltered, recoverable, micrograms per liter",p34200
TRUE,1546,23000,,0.0034,183,38,,<,"Acenaphthylene, water, unfiltered, recoverable, micrograms per liter",p34200
TRUE,1546,21400,,0.38,181,38,,<,"Acenaphthylene, water, unfiltered, recoverable, micrograms per liter",p34200
TRUE,1546,21400,,0.09,181,38,,<,"Acenaphthylene, water, unfiltered, recoverable, micrograms per liter",p34200
TRUE,1546,16500,,0.1,140,48,,<,"Acenaphthylene, water, unfiltered, recoverable, micrograms per liter",p34200
TRUE,1546,16500,,0.01,140,48,,<,"Acenaphthylene, water, unfiltered, recoverable, micrograms per liter",p34200
TRUE,1546,16500,,0.0019,140,48,,<,"Acenaphthylene, water, unfiltered, recoverable, micrograms per liter",p34200
TRUE,1546,16500,,0.0018,140,48,,<,"Acenaphthylene, water, unfiltered, recoverable, micrograms per liter",p34200
TRUE,1546,78500,,0.1,139,48,,<,"Acenaphthylene, water, unfiltered, recoverable, micrograms per liter",p34200
TRUE,1546,78500,,0.01,139,48,,<,"Acenaphthylene, water, unfiltered, recoverable, micrograms per liter",p34200
TRUE,1546,78500,,0.0098,139,48,,<,"Acenaphthylene, water, unfiltered, recoverable, micrograms per liter",p34200
TRUE,1546,126000,,0.1,138,48,,<,"Acenaphthylene, water, unfiltered, recoverable, micrograms per liter",p34200
TRUE,1546,126000,,0.01,138,48,,<,"Acenaphthylene, water, unfiltered, recoverable, micrograms per liter",p34200
TRUE,1546,126000,,0.0099,137,48,,<,"Acenaphthylene, water, unfiltered, recoverable, micrograms per liter",p34200
FALSE,1557,126000,,0.03,137,48,,,"Acrolein, bed sediment, recoverable, dry weight, micrograms per kilogram",p34213
TRUE,1556,126000,,0.1,137,48,,<,"Acrolein, suspended sediment, recoverable, micrograms per liter",p34212
TRUE,1555,126000,,0.1,137,48,,<,"Acrolein, water, filtered, recoverable, micrograms per liter",p34211
TRUE,1554,126000,,0.01,137,48,,<,"Acrolein, water, unfiltered, recoverable, micrograms per liter",p34210
FALSE,2328,30000,,0.0016,186,38,,,"Aldrin, water, unfiltered, recoverable, micrograms per liter",p39330
TRUE,2328,30000,,0.0025,186,38,,<,"Aldrin, water, unfiltered, recoverable, micrograms per liter",p39330
TRUE,2328,30000,,0.0011,186,38,,<,"Aldrin, water, unfiltered, recoverable, micrograms per liter",p39330
TRUE,2328,30000,,0.001,186,38,,<,"Aldrin, water, unfiltered, recoverable, micrograms per liter",p39330
TRUE,2328,145100,,0.01,184,38,,<,"Aldrin, water, unfiltered, recoverable, micrograms per liter",p39330
TRUE,2328,145100,,0.0055,184,38,,<,"Aldrin, water, unfiltered, recoverable, micrograms per liter",p39330
TRUE,2328,145100,,0.0025,184,38,,<,"Aldrin, water, unfiltered, recoverable, micrograms per liter",p39330
TRUE,2328,145100,,0.0011,184,38,,<,"Aldrin, water, unfiltered, recoverable, micrograms per liter",p39330
TRUE,2328,23000,,0.0025,183,38,,<,"Aldrin, water, unfiltered, recoverable, micrograms per liter",p39330
TRUE,2328,23000,,0.00055,183,38,,<,"Aldrin, water, unfiltered, recoverable, micrograms per liter",p39330
TRUE,2328,23000,,0.00011,183,38,,<,"Aldrin, water, unfiltered, recoverable, micrograms per liter",p39330
FALSE,109,8000,,13.7,187,38,,,"Alkalinity, water, filtered, fixed endpoint (pH 4.5) titration, field, milligrams per liter as calcium carbonate",p00418
FALSE,109,8000,,10.02,187,38,,,"Alkalinity, water, filtered, fixed endpoint (pH 4.5) titration, field, milligrams per liter as calcium carbonate",p00418
FALSE,109,8000,,9.9,187,38,,,"Alkalinity, water, filtered, fixed endpoint (pH 4.5) titration, field, milligrams per liter as calcium carbonate",p00418
FALSE,109,8000,,9.27,187,38,,,"Alkalinity, water, filtered, fixed endpoint (pH 4.5) titration, field, milligrams per liter as calcium carbonate",p00418
FALSE,109,8000,,8.01,187,38,,,"Alkalinity, water, filtered, fixed endpoint (pH 4.5) titration, field, milligrams per liter as calcium carbonate",p00418
FALSE,109,8000,,7.58,187,38,,,"Alkalinity, water, filtered, fixed endpoint (pH 4.5) titration, field, milligrams per liter as calcium carbonate",p00418
FALSE,109,8000,,6.91,187,38,,,"Alkalinity, water, filtered, fixed endpoint (pH 4.5) titration, field, milligrams per liter as calcium carbonate",p00418
FALSE,109,8000,,6.66,187,38,,,"Alkalinity, water, filtered, fixed endpoint (pH 4.5) titration, field, milligrams per liter as calcium carbonate",p00418
FALSE,109,8000,,6.34,187,38,,,"Alkalinity, water, filtered, fixed endpoint (pH 4.5) titration, field, milligrams per liter as calcium carbonate",p00418
FALSE,109,8000,,6.12,187,38,,,"Alkalinity, water, filtered, fixed endpoint (pH 4.5) titration, field, milligrams per liter as calcium carbonate",p00418
FALSE,109,8000,,6.07,187,38,,,"Alkalinity, water, filtered, fixed endpoint (pH 4.5) titration, field, milligrams per liter as calcium carbonate",p00418
FALSE,109,8000,,5.91,187,38,,,"Alkalinity, water, filtered, fixed endpoint (pH 4.5) titration, field, milligrams per liter as calcium carbonate",p00418
FALSE,109,8000,,5.73,187,38,,,"Alkalinity, water, filtered, fixed endpoint (pH 4.5) titration, field, milligrams per liter as calcium carbonate",p00418
FALSE,109,8000,,4.45,187,38,,,"Alkalinity, water, filtered, fixed endpoint (pH 4.5) titration, field, milligrams per liter as calcium carbonate",p00418
